fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,is_red,quality
6.5,0.27,0.3,11.0,0.03,2.0,82.0,0.994,3.07,0.4,11.2,0.0,5.595959688555535
6.1,0.64,0.0,2.4,0.069,26.0,46.0,0.9936,3.47,0.4,11.0,1.0,5.066845259753482
4.9,0.34,0.1,1.3,0.036,69.0,168.0,0.9921,3.47,0.5,10.5,0.0,5.437898718427123
7.6,0.18,0.5,18.0,0.046,36.0,158.0,0.9996,3.06,0.4,9.2,0.0,5.7007404004337
6.0,0.32,0.3,7.3,0.174,46.0,159.0,0.9952,3.18,0.5,9.4,0.0,5.2318630930401095
6.2,0.25,0.5,11.6,0.048,62.0,210.0,0.9968,3.19,0.5,9.5,0.0,5.4599540974845855
8.0,0.43,0.4,12.4,0.168,29.0,190.0,0.9991,3.07,0.6,9.2,0.0,5.008783262223731
7.1,0.43,0.4,5.5,0.071,28.0,128.0,0.9973,3.42,0.7,10.5,1.0,5.1978146812318275
9.9,0.59,0.1,3.4,0.102,32.0,71.0,1.0001,3.31,0.7,9.8,1.0,5.299247655083826
6.0,0.64,0.1,1.9,0.066,9.0,17.0,0.995,3.52,0.8,10.6,1.0,5.635935248524123
7.4,0.31,0.7,10.7,0.039,51.0,147.0,0.9977,3.02,0.4,8.7,0.0,5.047826145020998
6.8,0.37,0.5,11.8,0.044,62.0,163.0,0.9976,3.19,0.4,8.8,0.0,5.145168036070924
10.8,0.32,0.4,1.6,0.063,16.0,37.0,0.9985,3.22,0.8,10.0,1.0,5.7663440584557435
7.1,0.43,0.4,5.5,0.07,29.0,129.0,0.9973,3.42,0.7,10.5,1.0,5.164834438021027
7.1,0.46,0.1,2.8,0.076,15.0,37.0,0.9962,3.36,0.5,10.7,1.0,5.342308147490107
6.6,0.56,0.2,10.0,0.037,38.0,157.0,0.9964,3.28,0.5,9.4,0.0,5.406724441924548
5.3,0.3,0.2,1.1,0.077,48.0,166.0,0.9944,3.3,0.5,8.7,0.0,5.005188630364863
6.3,0.26,0.2,5.2,0.046,11.0,133.0,0.992,2.97,0.7,11.0,0.0,5.581903859369592
6.9,0.2,0.3,1.9,0.043,25.0,136.0,0.9935,3.31,0.6,10.1,0.0,5.883741154472951
6.5,0.29,0.2,2.5,0.142,8.0,111.0,0.9927,3.0,0.4,9.9,0.0,5.105708622384094
6.8,0.18,0.2,5.4,0.053,34.0,104.0,0.9944,3.3,0.4,9.4,0.0,5.8165954202247265
7.1,0.36,0.3,1.6,0.08,35.0,70.0,0.9969,3.44,0.5,9.4,1.0,5.141955837548077
9.3,0.34,0.5,7.3,0.052,30.0,146.0,0.998,3.17,0.6,10.2,0.0,5.27720115148303
6.1,0.3,0.5,1.4,0.049,50.0,187.0,0.9927,3.19,0.4,9.5,0.0,5.090413830855139
6.4,0.31,0.1,1.4,0.066,15.0,28.0,0.9946,3.42,0.7,10.0,1.0,5.868038665911535
6.4,0.23,0.3,10.3,0.042,54.0,140.0,0.9967,3.23,0.5,9.2,0.0,5.695837475633286
8.3,0.27,0.3,10.2,0.048,50.0,118.0,0.9972,3.18,0.5,10.3,1.0,5.972887697697422
6.7,0.26,0.3,4.1,0.073,36.0,202.0,0.9956,3.3,0.7,9.5,0.0,5.382355106715033
15.5,0.64,0.5,4.2,0.095,10.0,23.0,1.0031,2.92,0.7,11.1,1.0,5.911114294658473
8.1,0.2,0.3,1.3,0.036,7.0,49.0,0.9924,2.99,0.7,10.3,0.0,5.054036728432168
6.9,0.41,0.3,10.1,0.043,28.0,152.0,0.9968,3.2,0.5,9.4,0.0,5.364895963612142
6.7,0.24,0.3,13.1,0.05,64.0,205.0,0.997,3.15,0.5,9.5,0.0,5.4651475975368955
7.1,0.23,0.2,5.4,0.039,60.0,196.0,0.9948,3.19,0.8,10.0,0.0,5.417250407294612
6.4,0.39,0.2,1.2,0.041,35.0,136.0,0.9923,3.15,0.5,10.2,0.0,5.254146786757428
7.0,0.29,0.5,10.7,0.046,59.0,234.0,0.9966,3.05,0.6,9.5,0.0,5.409060633332439
7.0,0.24,0.3,6.7,0.039,37.0,125.0,0.9944,3.2,0.4,9.9,0.0,5.726241227021814
6.6,0.56,0.2,8.9,0.034,27.0,133.0,0.9967,3.2,0.5,9.1,0.0,5.180880023837016
6.8,0.3,0.2,6.6,0.123,35.0,116.0,0.9953,3.07,0.5,9.4,0.0,5.242068381515609
8.3,0.56,0.2,2.4,0.082,10.0,86.0,0.9983,3.37,0.6,9.5,1.0,5.165120205765073
8.0,0.52,0.0,1.7,0.07,10.0,35.0,0.9958,3.34,0.6,10.0,1.0,5.44426732651314
8.8,0.61,0.1,2.4,0.067,10.0,42.0,0.9969,3.19,0.6,9.5,1.0,5.204840600131983
7.4,0.27,0.3,11.8,0.053,55.0,173.0,0.997,3.11,0.6,9.8,0.0,5.510744692830246
8.0,0.5,0.4,2.6,0.082,12.0,46.0,0.9985,3.43,0.6,10.7,1.0,5.299126418986288
3.8,0.08,0.0,1.4,0.009,15.0,26.0,0.9946,2.72,0.2,8.0,1.0,5.043933946115136
7.3,0.26,0.2,1.7,0.05,10.0,112.0,0.9929,3.11,0.4,9.9,0.0,5.029978762835763
6.5,0.46,0.4,16.8,0.084,59.0,222.0,0.9993,3.18,0.6,9.0,0.0,5.030365192830728
6.8,0.36,0.3,1.6,0.039,10.0,124.0,0.9948,3.3,0.7,9.6,0.0,5.318754530720304
7.8,0.3,0.4,1.3,0.051,16.0,96.0,0.9941,3.32,0.6,10.0,1.0,5.349624386996565
7.1,0.69,0.0,2.1,0.068,19.0,27.0,0.9971,3.44,0.7,9.8,1.0,5.332978760549486
6.8,0.24,0.5,19.3,0.057,55.0,247.0,1.0006,3.0,0.6,8.7,0.0,5.356859427607538
6.7,0.27,0.1,1.3,0.041,62.0,138.0,0.9921,3.21,0.4,10.0,0.0,5.490251927327804
7.0,0.65,0.0,2.1,0.066,8.0,25.0,0.9972,3.47,0.7,9.5,1.0,5.203976897837497
7.0,0.28,0.4,8.7,0.051,32.0,141.0,0.9961,3.38,0.5,10.5,0.0,6.098966939826593
6.9,0.2,0.4,7.7,0.032,51.0,176.0,0.9939,3.22,0.3,11.4,0.0,6.459778316911523
6.0,0.24,0.0,0.6,0.036,53.0,6.0,0.991,2.72,0.5,11.4,0.0,6.050829116748707
6.0,0.26,0.4,5.2,0.027,70.0,178.0,0.9914,3.4,0.4,12.3,0.0,7.28087151829359
7.0,0.15,0.4,15.3,0.045,54.0,120.0,0.9975,3.18,0.4,9.8,0.0,6.284268484730677
6.8,0.31,0.2,10.5,0.043,30.0,165.0,0.9972,3.36,0.6,10.6,0.0,6.000077771937453
5.7,0.18,0.4,1.2,0.046,9.0,71.0,0.992,3.7,0.7,10.9,0.0,6.346510257392242
6.5,0.34,0.5,1.0,0.023,6.0,80.0,0.9887,3.15,0.5,12.9,0.0,6.201659006459798
7.0,0.3,0.5,4.7,0.036,17.0,105.0,0.9916,3.26,0.7,12.4,1.0,6.241261880885192
7.0,0.32,0.3,1.5,0.039,24.0,125.0,0.9918,3.17,0.6,12.2,0.0,6.25792680717306
11.4,0.26,0.4,3.6,0.071,6.0,19.0,0.9986,3.12,0.8,9.3,1.0,6.033394758610384
4.0,0.08,0.4,42.0,0.0,53.8,124.0,1.0,3.11,0.5,8.0,0.0,6.267704316316156
9.1,0.28,0.5,1.8,0.067,26.0,46.0,0.9967,3.32,1.0,10.6,1.0,6.001818591336624
6.0,0.14,0.4,1.2,0.032,63.0,148.0,0.9919,3.32,0.4,11.2,0.0,6.374737790599272
10.2,0.34,0.5,2.1,0.052,5.0,9.0,0.9946,3.2,0.7,12.1,1.0,6.68376942270634
5.9,0.25,0.2,7.4,0.044,21.0,113.0,0.9946,3.38,0.6,10.5,0.0,6.257489785892128
7.8,0.24,0.3,12.2,0.054,42.0,138.0,0.9984,3.01,0.5,8.8,0.0,6.214557824412117
7.6,0.2,0.3,14.2,0.056,53.0,212.5,0.999,3.14,0.5,8.9,0.0,7.269196474217904
7.2,0.25,0.3,14.4,0.055,55.0,205.0,0.9986,3.12,0.4,9.0,0.0,6.096681381377605
8.0,0.18,0.4,1.3,0.04,15.0,96.0,0.9912,3.06,0.6,12.1,0.0,6.1287586536079
11.6,0.32,0.6,2.8,0.081,35.0,67.0,1.0002,3.32,0.9,10.8,1.0,6.029348114156439
6.8,0.24,0.3,6.4,0.048,44.0,172.0,0.9944,3.29,0.6,10.5,0.0,6.0048718846704485
7.3,0.14,0.3,1.1,0.042,14.0,64.0,0.9901,3.1,0.4,11.8,0.0,6.211190161106412
7.0,0.24,0.3,4.2,0.04,41.0,213.0,0.9927,3.28,0.5,11.8,0.0,6.518602016965222
7.9,0.65,0.0,2.5,0.078,17.0,38.0,0.9963,3.34,0.7,11.7,1.0,6.212678385963386
7.6,0.26,0.3,1.3,0.048,23.0,76.0,0.9903,2.96,0.5,12.0,0.0,6.26839855870314
7.2,0.24,0.2,1.7,0.045,18.0,161.0,0.992,3.25,0.5,11.2,0.0,6.085860481802161
6.6,0.39,0.3,9.2,0.036,10.0,92.0,0.9921,3.07,0.3,12.1,0.0,6.520587652236374
9.0,0.4,0.4,2.4,0.068,29.0,46.0,0.9943,3.2,0.6,12.2,1.0,6.391728722671473
3.8,0.08,0.3,0.6,0.033,70.0,6.0,0.9914,3.42,0.4,12.3,0.0,6.659485118578216
7.6,0.52,0.5,14.0,0.034,37.0,156.0,0.9958,3.14,0.4,11.8,0.0,6.799676637166091
6.8,0.23,0.3,8.6,0.046,47.0,159.0,0.9945,3.08,0.5,10.5,0.0,6.096714140460025
8.0,0.22,0.3,10.4,0.043,63.0,201.0,0.997,3.11,0.5,9.5,0.0,6.01124302643782
7.4,0.19,0.3,14.5,0.045,39.0,193.0,0.9986,3.1,0.5,9.2,0.0,6.338912883085251
8.5,0.17,0.7,3.6,0.05,29.0,128.0,0.9928,3.28,0.4,12.4,1.0,6.27404494348805
10.4,0.44,0.7,6.6,0.074,38.0,76.0,0.999,3.17,0.9,12.0,1.0,6.888829884734552
8.2,0.23,0.4,1.9,0.069,9.0,17.0,0.9938,3.21,0.5,12.3,1.0,6.118908096400632
6.8,0.28,0.3,11.9,0.052,51.0,149.0,0.9954,3.02,0.6,10.4,0.0,6.060974258052047
8.1,0.2,0.4,9.7,0.044,63.0,162.0,0.997,3.1,0.5,10.0,0.0,6.086529932064909
9.3,0.33,0.4,1.5,0.057,19.0,37.0,0.995,3.18,0.9,11.1,1.0,6.445847002882046
8.5,0.17,0.7,3.6,0.05,29.0,128.0,0.9928,3.28,0.4,12.4,1.0,6.27404494348805
7.9,0.35,0.5,3.6,0.078,15.0,37.0,0.9973,3.35,0.9,12.8,1.0,6.911072244546566
7.9,0.18,0.5,5.2,0.051,36.0,157.0,0.9953,3.18,0.5,10.6,0.0,6.0654280434007175
6.9,0.3,0.3,2.1,0.009,47.0,6.0,0.9946,3.29,0.4,12.7,0.0,6.519305695405883
6.4,0.3,0.3,4.4,0.055,17.0,135.0,0.9925,3.23,0.4,12.2,0.0,6.13699979827703
6.1,0.35,0.2,2.3,0.034,25.0,133.0,0.9906,3.34,0.6,12.0,0.0,6.7002980228936035
6.0,0.34,0.3,3.8,0.044,13.0,116.0,0.9911,3.39,0.4,11.8,0.0,6.482172542851923
6.5,0.26,0.3,6.7,0.059,34.0,104.0,0.9925,3.18,0.4,11.1,0.0,6.4003544502824
11.6,0.32,0.6,2.8,0.081,35.0,67.0,1.0002,3.32,0.9,10.8,1.0,6.029348114156439
6.6,0.2,0.4,7.9,0.052,30.0,145.0,0.9947,3.32,0.6,11.0,0.0,6.335152414434963
6.2,0.28,0.4,5.0,0.043,50.0,188.0,0.9932,3.23,0.6,10.8,0.0,6.002301982163679
6.8,0.56,0.2,1.8,0.074,15.0,24.0,0.9944,3.4,0.8,11.2,1.0,6.179411419058443
7.6,0.17,0.4,11.2,0.054,56.0,137.0,0.997,3.15,0.5,10.0,0.0,6.298109759023167
8.5,0.23,0.3,1.3,0.035,54.0,110.0,0.9918,3.07,0.6,11.0,1.0,6.60372595286154
8.9,0.26,0.3,8.1,0.024,47.0,202.0,0.9956,3.13,0.5,10.8,0.0,6.370261803922668
12.0,0.28,0.5,1.9,0.074,10.0,21.0,0.9976,2.98,0.7,9.9,1.0,6.207560159031271
6.9,0.19,0.4,1.4,0.036,14.0,55.0,0.9909,3.08,0.7,11.5,0.0,6.205752807146951
6.7,0.34,0.3,8.5,0.059,24.0,152.0,0.9962,3.46,0.6,11.0,0.0,6.209152249114119
8.0,0.22,0.3,10.4,0.043,63.0,201.0,0.997,3.11,0.5,9.5,0.0,6.01124302643782
7.1,0.38,0.4,2.2,0.042,54.0,201.0,0.9918,3.03,0.5,11.4,0.0,6.141117071772397
6.4,0.32,0.0,2.5,0.009,35.0,136.0,0.9938,3.47,0.5,12.7,0.0,6.69312789369595
7.5,0.24,0.3,13.0,0.049,46.0,217.0,0.9985,3.08,0.5,8.8,0.0,6.315289104983298
6.8,0.15,0.3,5.3,0.05,40.0,127.0,0.9942,3.4,0.4,9.7,0.0,6.082088394259772
6.6,0.24,0.2,8.6,0.034,25.0,135.0,0.9958,3.33,0.6,10.3,0.0,6.207094268842189
7.3,0.24,0.4,3.6,0.024,35.0,116.0,0.9928,3.17,0.5,10.9,0.0,6.321476986978749
5.1,0.58,0.0,1.7,0.044,14.0,86.0,0.9926,3.56,0.9,12.9,1.0,6.980301365739607
11.5,0.35,0.5,3.3,0.07,10.0,37.0,1.0003,3.32,0.9,11.0,1.0,6.000642566570917
9.9,0.44,0.5,2.2,0.091,10.0,41.0,0.9964,3.18,0.7,11.9,1.0,6.268923793113128
6.0,0.27,0.3,5.0,0.043,54.0,170.0,0.9924,3.28,0.5,11.0,0.0,6.213130130521426
10.2,0.36,0.6,2.9,0.122,10.0,41.0,0.998,3.23,0.7,12.5,1.0,6.273544218243671
6.8,0.56,0.2,1.8,0.074,15.0,24.0,0.9944,3.4,0.8,11.2,1.0,6.179411419058443
6.9,0.15,0.3,4.4,0.029,14.0,107.0,0.9935,3.24,0.5,10.4,0.0,6.09002366749632
6.5,0.08,0.3,21.2,0.031,1.0,216.0,1.0,3.22,0.4,13.1,0.0,7.093822010896675
7.6,0.21,0.4,1.9,0.036,10.0,119.0,0.9913,3.01,0.7,12.8,0.0,6.009223638764748
8.0,0.18,0.4,1.3,0.04,15.0,96.0,0.9912,3.06,0.6,12.1,1.0,6.3056890690779035
10.8,0.29,0.4,1.6,0.084,19.0,27.0,0.9955,3.28,0.7,11.9,1.0,6.508168033209299
7.5,0.24,0.3,13.0,0.049,46.0,217.0,0.9985,3.08,0.5,8.8,0.0,6.315289104983298
5.8,0.26,0.3,2.6,0.034,75.0,129.0,0.9902,3.2,0.4,11.5,0.0,6.6036571139444815
10.5,0.24,0.5,2.1,0.066,6.0,24.0,0.9978,3.15,0.9,11.0,1.0,6.531391371189493
8.8,0.37,0.5,2.1,0.097,39.0,145.0,0.9975,3.04,1.0,9.3,0.0,3.3612725961996537
11.7,0.49,0.5,2.2,0.083,5.0,15.0,1.0,3.19,0.4,9.2,1.0,4.130105736175742
9.6,0.6,0.5,2.3,0.079,28.0,71.0,0.9997,3.5,0.6,9.7,1.0,4.770831316185591
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.5,9.5,1.0,4.810377559971863
9.9,1.0,0.5,1.4,0.046,34.0,185.0,0.9966,3.02,0.5,10.2,0.0,3.911080899162054
5.0,0.75,0.3,3.8,0.045,1.0,85.0,0.9903,2.72,0.5,8.0,0.0,4.479851526085653
